Order_ID,Product_ID,Product_Category,Product_Price,User_Location,Return_Reason,return_probability
ORD00002038,PROD00002038,Electronics,480.7,City38,Defective,0.95
ORD00006055,PROD00006055,Books,49.08,City97,Not as described,0.95
ORD00004916,PROD00004916,Clothing,136.59,City47,Changed mind,0.94
ORD00001181,PROD00001181,Toys,345.67,City73,Wrong item,0.94
ORD00003164,PROD00003164,Electronics,25.93,City78,Changed mind,0.94
ORD00006613,PROD00006613,Toys,346.83,City64,Defective,0.93
ORD00008416,PROD00008416,Home,457.53,City49,Wrong item,0.93
ORD00009624,PROD00009624,Home,486.59,City58,Changed mind,0.93
ORD00000680,PROD00000680,Toys,262.65,City2,Wrong item,0.93
ORD00003865,PROD00003865,Toys,195.73,City38,Defective,0.93
ORD00009975,PROD00009975,Clothing,353.98,City95,Not as described,0.93
ORD00008397,PROD00008397,Books,426.32,City43,Wrong item,0.93
ORD00006471,PROD00006471,Electronics,427.95,City10,Wrong item,0.93
ORD00001215,PROD00001215,Toys,13.69,City91,Changed mind,0.93
ORD00003642,PROD00003642,Clothing,223.54,City66,Changed mind,0.93
ORD00006723,PROD00006723,Toys,121.0,City50,Changed mind,0.93
ORD00001335,PROD00001335,Books,63.69,City47,Wrong item,0.93
ORD00007688,PROD00007688,Electronics,115.8,City67,Wrong item,0.93
ORD00000833,PROD00000833,Clothing,72.94,City59,Not as described,0.93
ORD00005507,PROD00005507,Home,358.56,City29,Not as described,0.92
ORD00008372,PROD00008372,Toys,172.23,City33,Wrong item,0.92
ORD00000188,PROD00000188,Clothing,356.89,City33,Defective,0.92
ORD00004188,PROD00004188,Electronics,329.85,City99,Not as described,0.92
ORD00007957,PROD00007957,Toys,28.9,City67,Wrong item,0.92
ORD00006616,PROD00006616,Toys,389.73,City99,Wrong item,0.92
ORD00003555,PROD00003555,Clothing,36.07,City15,Changed mind,0.92
ORD00001145,PROD00001145,Clothing,437.0,City29,Wrong item,0.92
ORD00006275,PROD00006275,Clothing,349.51,City15,Not as described,0.92
ORD00002470,PROD00002470,Electronics,237.27,City68,Wrong item,0.92
ORD00008939,PROD00008939,Toys,191.49,City46,Not as described,0.92
ORD00001492,PROD00001492,Toys,498.15,City44,Not as described,0.92
ORD00003991,PROD00003991,Home,51.29,City28,Defective,0.92
ORD00005292,PROD00005292,Home,90.5,City7,Changed mind,0.92
ORD00004133,PROD00004133,Home,145.55,City5,Changed mind,0.92
ORD00003777,PROD00003777,Toys,348.19,City15,Defective,0.92
ORD00001404,PROD00001404,Clothing,63.51,City2,Not as described,0.92
ORD00000067,PROD00000067,Toys,227.79,City31,Not as described,0.92
ORD00006799,PROD00006799,Electronics,481.2,City26,Changed mind,0.92
ORD00002324,PROD00002324,Books,414.45,City44,Wrong item,0.92
ORD00002743,PROD00002743,Toys,81.01,City38,Not as described,0.91
ORD00000269,PROD00000269,Clothing,385.95,City8,Not as described,0.91
ORD00002243,PROD00002243,Electronics,277.98,City28,Not as described,0.91
ORD00004980,PROD00004980,Electronics,377.28,City44,Not as described,0.91
ORD00000401,PROD00000401,Toys,80.52,City95,Changed mind,0.91
ORD00008810,PROD00008810,Home,398.12,City90,Wrong item,0.91
ORD00009195,PROD00009195,Books,353.7,City93,Defective,0.91
ORD00000048,PROD00000048,Electronics,344.31,City68,Not as described,0.91
ORD00005388,PROD00005388,Toys,175.27,City7,Not as described,0.91
ORD00008845,PROD00008845,Clothing,356.41,City79,Changed mind,0.91
ORD00007048,PROD00007048,Toys,53.97,City28,Changed mind,0.91
ORD00006599,PROD00006599,Electronics,39.22,City68,Changed mind,0.91
ORD00002240,PROD00002240,Toys,169.17,City38,Wrong item,0.91
ORD00000182,PROD00000182,Clothing,69.89,City27,Wrong item,0.91
ORD00007376,PROD00007376,Home,443.26,City81,Defective,0.91
ORD00007404,PROD00007404,Toys,380.24,City49,Wrong item,0.91
ORD00001408,PROD00001408,Books,474.99,City60,Changed mind,0.91
ORD00004135,PROD00004135,Electronics,405.93,City44,Changed mind,0.91
ORD00009820,PROD00009820,Toys,48.75,City51,Not as described,0.91
ORD00003756,PROD00003756,Clothing,273.16,City74,Wrong item,0.91
ORD00000173,PROD00000173,Toys,9.03,City35,Not as described,0.91
ORD00007282,PROD00007282,Clothing,491.32,City71,Not as described,0.91
ORD00004177,PROD00004177,Clothing,49.29,City2,Wrong item,0.91
ORD00009929,PROD00009929,Home,54.31,City86,Not as described,0.91
ORD00001522,PROD00001522,Books,72.19,City76,Not as described,0.91
ORD00001451,PROD00001451,Home,470.77,City22,Wrong item,0.91
ORD00009936,PROD00009936,Toys,392.46,City38,Defective,0.91
ORD00007975,PROD00007975,Toys,370.95,City43,Changed mind,0.91
ORD00008027,PROD00008027,Electronics,273.37,City97,Wrong item,0.91
ORD00008329,PROD00008329,Home,318.05,City27,Defective,0.91
ORD00009647,PROD00009647,Clothing,156.03,City69,Changed mind,0.91
ORD00006768,PROD00006768,Toys,400.46,City93,Wrong item,0.91
ORD00001890,PROD00001890,Clothing,432.9,City62,Changed mind,0.91
ORD00002000,PROD00002000,Books,332.72,City33,Changed mind,0.91
ORD00004256,PROD00004256,Books,45.45,City42,Changed mind,0.91
ORD00001988,PROD00001988,Toys,238.17,City24,Changed mind,0.91
ORD00008360,PROD00008360,Clothing,37.37,City87,Not as described,0.91
ORD00002232,PROD00002232,Books,103.36,City78,Defective,0.91
ORD00000319,PROD00000319,Books,171.71,City99,Wrong item,0.91
ORD00008969,PROD00008969,Toys,165.99,City14,Defective,0.91
ORD00003338,PROD00003338,Electronics,384.99,City54,Not as described,0.91
ORD00003205,PROD00003205,Electronics,439.45,City74,Defective,0.91
ORD00000661,PROD00000661,Books,136.37,City7,Wrong item,0.91
ORD00003849,PROD00003849,Books,401.94,City6,Wrong item,0.9
ORD00001662,PROD00001662,Toys,225.2,City73,Changed mind,0.9
ORD00007413,PROD00007413,Electronics,25.64,City80,Defective,0.9
ORD00001864,PROD00001864,Books,332.06,City82,Changed mind,0.9
ORD00001874,PROD00001874,Clothing,406.07,City44,Wrong item,0.9
ORD00007023,PROD00007023,Home,422.68,City8,Not as described,0.9
ORD00007933,PROD00007933,Clothing,312.95,City29,Defective,0.9
ORD00001702,PROD00001702,Electronics,295.18,City68,Wrong item,0.9
ORD00007298,PROD00007298,Toys,125.03,City87,Not as described,0.9
